Ber;0;10/06/2025;09:04:39
Ber;0;10/06/2025;09:04:50
BEr;2;10/06/2025;09:07:21
Ber;3;10/06/2025;09:11:04
Ber;1;10/06/2025;09:16:04
 ver;4;11/06/2025;05:29:01
ber;0;11/06/2025;05:36:38
ber;2;11/06/2025;05:38:41
